competition_key,date,home_team_key,away_team_key,match_round,full_time_home_team_goals,full_time_away_team_goals,full_time_result
en.2013/14,2013/08/17,liverpool,stoke,Matchday 1,1,0,H
en.2013/14,2013/08/17,arsenal,astonvilla,Matchday 1,1,3,A
en.2013/14,2013/08/17,norwich,everton,Matchday 1,2,2,D
en.2013/14,2013/08/17,sunderland,fulham,Matchday 1,0,1,A
en.2013/14,2013/08/17,westbrom,southampton,Matchday 1,0,1,A
en.2013/14,2013/08/17,westham,cardiff,Matchday 1,2,0,H
en.2013/14,2013/08/17,swansea,manunited,Matchday 1,1,4,A
en.2013/14,2013/08/18,crystalpalace,tottenham,Matchday 1,0,1,A
en.2013/14,2013/08/18,chelsea,hull,Matchday 1,2,0,H
en.2013/14,2013/08/19,mancity,newcastle,Matchday 1,4,0,H
en.2013/14,2013/08/24,fulham,arsenal,Matchday 2,1,3,A
en.2013/14,2013/08/24,everton,westbrom,Matchday 2,0,0,D
en.2013/14,2013/08/24,hull,norwich,Matchday 2,1,0,H
en.2013/14,2013/08/24,newcastle,westham,Matchday 2,0,0,D
en.2013/14,2013/08/24,southampton,sunderland,Matchday 2,1,1,D
en.2013/14,2013/08/24,stoke,crystalpalace,Matchday 2,1,1,D
en.2013/14,2013/08/24,astonvilla,liverpool,Matchday 2,0,1,A
en.2013/14,2013/08/25,cardiff,mancity,Matchday 2,3,2,H
en.2013/14,2013/08/25,tottenham,swansea,Matchday 2,1,0,H
en.2013/14,2013/08/26,manunited,chelsea,Matchday 2,0,0,D
en.2013/14,2013/08/21,chelsea,astonvilla,Matchday 3,2,1,H
en.2013/14,2013/08/31,mancity,hull,Matchday 3,2,0,H
en.2013/14,2013/08/31,cardiff,everton,Matchday 3,0,0,D
en.2013/14,2013/08/31,newcastle,fulham,Matchday 3,1,0,H
en.2013/14,2013/08/31,norwich,southampton,Matchday 3,1,0,H
en.2013/14,2013/08/31,westham,stoke,Matchday 3,0,1,A
en.2013/14,2013/08/31,crystalpalace,sunderland,Matchday 3,3,1,H
en.2013/14,2013/09/01,liverpool,manunited,Matchday 3,1,0,H
en.2013/14,2013/09/01,westbrom,swansea,Matchday 3,0,2,A
en.2013/14,2013/09/01,arsenal,tottenham,Matchday 3,1,0,H
en.2013/14,2013/09/14,manunited,crystalpalace,Matchday 4,2,0,H
en.2013/14,2013/09/14,astonvilla,newcastle,Matchday 4,1,2,A
en.2013/14,2013/09/14,fulham,westbrom,Matchday 4,1,1,D
en.2013/14,2013/09/14,hull,cardiff,Matchday 4,1,1,D
en.2013/14,2013/09/14,stoke,mancity,Matchday 4,0,0,D
en.2013/14,2013/09/14,sunderland,arsenal,Matchday 4,1,3,A
en.2013/14,2013/09/14,tottenham,norwich,Matchday 4,2,0,H
en.2013/14,2013/09/14,everton,chelsea,Matchday 4,1,0,H
en.2013/14,2013/09/15,southampton,westham,Matchday 4,0,0,D
en.2013/14,2013/09/16,swansea,liverpool,Matchday 4,2,2,D
en.2013/14,2013/09/21,norwich,astonvilla,Matchday 5,0,1,A
en.2013/14,2013/09/21,cardiff,tottenham,Matchday 5,0,1,A
en.2013/14,2013/09/21,crystalpalace,swansea,Matchday 5,0,2,A
en.2013/14,2013/09/21,liverpool,southampton,Matchday 5,0,1,A
en.2013/14,2013/09/21,newcastle,hull,Matchday 5,2,3,A
en.2013/14,2013/09/21,westbrom,sunderland,Matchday 5,3,0,H
en.2013/14,2013/09/21,westham,everton,Matchday 5,2,3,A
en.2013/14,2013/09/21,chelsea,fulham,Matchday 5,2,0,H
en.2013/14,2013/09/22,arsenal,stoke,Matchday 5,3,1,H
