competition_key,date,home_team_key,away_team_key,match_round,full_time_home_team_goals,full_time_away_team_goals,full_time_result
de.2013/14,2013/08/09,bayern,mgladbach,1. Spieltag,3,1,H
de.2013/14,2013/08/10,leverkusen,freiburg,1. Spieltag,3,1,H
de.2013/14,2013/08/10,hannover,wolfsburg,1. Spieltag,2,0,H
de.2013/14,2013/08/10,hoffenheim,nuernberg,1. Spieltag,2,2,D
de.2013/14,2013/08/10,augsburg,dortmund,1. Spieltag,0,4,A
de.2013/14,2013/08/10,braunschweig,bremen,1. Spieltag,0,1,A
de.2013/14,2013/08/10,herthabsc,frankfurt,1. Spieltag,6,1,H
de.2013/14,2013/08/11,mainz,stuttgart,1. Spieltag,3,2,H
de.2013/14,2013/08/11,schalke,hsv,1. Spieltag,3,3,D
de.2013/14,2013/08/17,mgladbach,hannover,2. Spieltag,3,0,H
de.2013/14,2013/08/17,stuttgart,leverkusen,2. Spieltag,0,1,A
de.2013/14,2013/08/17,wolfsburg,schalke,2. Spieltag,4,0,H
de.2013/14,2013/08/17,bremen,augsburg,2. Spieltag,1,0,H
de.2013/14,2013/08/17,freiburg,mainz,2. Spieltag,1,2,A
de.2013/14,2013/08/17,hsv,hoffenheim,2. Spieltag,1,5,A
de.2013/14,2013/08/17,frankfurt,bayern,2. Spieltag,0,1,A
de.2013/14,2013/08/18,nuernberg,herthabsc,2. Spieltag,2,2,D
de.2013/14,2013/08/18,dortmund,braunschweig,2. Spieltag,2,1,H
de.2013/14,2013/08/24,dortmund,bremen,3. Spieltag,1,0,H
de.2013/14,2013/08/24,bayern,nuernberg,3. Spieltag,2,0,H
de.2013/14,2013/08/24,leverkusen,mgladbach,3. Spieltag,4,2,H
de.2013/14,2013/08/24,hannover,schalke,3. Spieltag,2,1,H
de.2013/14,2013/08/24,hoffenheim,freiburg,3. Spieltag,3,3,D
de.2013/14,2013/08/24,mainz,wolfsburg,3. Spieltag,2,0,H
de.2013/14,2013/08/24,herthabsc,hsv,3. Spieltag,1,0,H
de.2013/14,2013/08/25,augsburg,stuttgart,3. Spieltag,2,1,H
de.2013/14,2013/08/25,braunschweig,frankfurt,3. Spieltag,0,2,A
de.2013/14,2013/08/27,freiburg,bayern,4. Spieltag,1,1,D
de.2013/14,2013/08/31,schalke,leverkusen,4. Spieltag,2,0,H
de.2013/14,2013/08/31,mgladbach,bremen,4. Spieltag,4,1,H
de.2013/14,2013/08/31,hannover,mainz,4. Spieltag,4,1,H
de.2013/14,2013/08/31,wolfsburg,herthabsc,4. Spieltag,2,0,H
de.2013/14,2013/08/31,nuernberg,augsburg,4. Spieltag,0,1,A
de.2013/14,2013/08/31,hsv,braunschweig,4. Spieltag,4,0,H
de.2013/14,2013/09/01,stuttgart,hoffenheim,4. Spieltag,6,2,H
de.2013/14,2013/09/01,frankfurt,dortmund,4. Spieltag,1,2,A
de.2013/14,2013/09/13,herthabsc,stuttgart,5. Spieltag,0,1,A
de.2013/14,2013/09/14,dortmund,hsv,5. Spieltag,6,2,H
de.2013/14,2013/09/14,bayern,hannover,5. Spieltag,2,0,H
de.2013/14,2013/09/14,leverkusen,wolfsburg,5. Spieltag,3,1,H
de.2013/14,2013/09/14,bremen,frankfurt,5. Spieltag,0,3,A
de.2013/14,2013/09/14,mainz,schalke,5. Spieltag,0,1,A
de.2013/14,2013/09/14,augsburg,freiburg,5. Spieltag,2,1,H
de.2013/14,2013/09/15,hoffenheim,mgladbach,5. Spieltag,2,1,H
de.2013/14,2013/09/15,braunschweig,nuernberg,5. Spieltag,1,1,D
de.2013/14,2013/09/21,schalke,bayern,6. Spieltag,0,4,A
de.2013/14,2013/09/21,mgladbach,braunschweig,6. Spieltag,4,1,H
de.2013/14,2013/09/21,stuttgart,frankfurt,6. Spieltag,1,1,D
de.2013/14,2013/09/21,hannover,augsburg,6. Spieltag,2,1,H
de.2013/14,2013/09/21,wolfsburg,hoffenheim,6. Spieltag,2,1,H
de.2013/14,2013/09/21,nuernberg,dortmund,6. Spieltag,1,1,D
de.2013/14,2013/09/21,freiburg,herthabsc,6. Spieltag,1,1,D
de.2013/14,2013/09/21,mainz,leverkusen,6. Spieltag,1,4,A
de.2013/14,2013/09/21,hsv,bremen,6. Spieltag,0,2,A
de.2013/14,2013/09/28,dortmund,freiburg,7. Spieltag,5,0,H
de.2013/14,2013/09/28,bayern,wolfsburg,7. Spieltag,1,0,H
de.2013/14,2013/09/28,leverkusen,hannover,7. Spieltag,2,0,H
de.2013/14,2013/09/28,bremen,nuernberg,7. Spieltag,3,3,D
de.2013/14,2013/09/28,hoffenheim,schalke,7. Spieltag,3,3,D
de.2013/14,2013/09/28,augsburg,mgladbach,7. Spieltag,2,2,D
de.2013/14,2013/09/28,braunschweig,stuttgart,7. Spieltag,0,4,A
de.2013/14,2013/09/28,frankfurt,hsv,7. Spieltag,2,2,D
de.2013/14,2013/09/28,herthabsc,mainz,7. Spieltag,3,1,H
de.2013/14,2013/10/05,schalke,augsburg,8. Spieltag,4,1,H
de.2013/14,2013/10/05,mgladbach,dortmund,8. Spieltag,2,0,H
de.2013/14,2013/10/05,leverkusen,bayern,8. Spieltag,1,1,D
de.2013/14,2013/10/05,stuttgart,bremen,8. Spieltag,1,1,D
de.2013/14,2013/10/05,hannover,herthabsc,8. Spieltag,1,1,D
de.2013/14,2013/10/05,wolfsburg,braunschweig,8. Spieltag,0,2,A
de.2013/14,2013/10/05,nuernberg,hsv,8. Spieltag,0,5,A
de.2013/14,2013/10/05,freiburg,frankfurt,8. Spieltag,1,1,D
de.2013/14,2013/10/05,mainz,hoffenheim,8. Spieltag,2,2,D
de.2013/14,2013/10/19,dortmund,hannover,9. Spieltag,1,0,H
de.2013/14,2013/10/19,bayern,mainz,9. Spieltag,4,1,H
de.2013/14,2013/10/19,bremen,freiburg,9. Spieltag,0,0,D
de.2013/14,2013/10/19,hoffenheim,leverkusen,9. Spieltag,1,2,A
de.2013/14,2013/10/19,augsburg,wolfsburg,9. Spieltag,1,2,A
de.2013/14,2013/10/19,hsv,stuttgart,9. Spieltag,3,3,D
de.2013/14,2013/10/19,braunschweig,schalke,9. Spieltag,2,3,A
de.2013/14,2013/10/19,frankfurt,nuernberg,9. Spieltag,1,1,D
de.2013/14,2013/10/19,herthabsc,mgladbach,9. Spieltag,1,0,H
de.2013/14,2013/10/26,bayern,herthabsc,10. Spieltag,3,2,H
de.2013/14,2013/10/26,schalke,dortmund,10. Spieltag,1,3,A
de.2013/14,2013/10/26,mgladbach,frankfurt,10. Spieltag,4,1,H
de.2013/14,2013/10/26,leverkusen,augsburg,10. Spieltag,2,1,H
