competition_key,date,home_team_key,away_team_key,match_round,full_time_home_team_goals,full_time_away_team_goals,full_time_result
cl.2013/14,2013/08/20,karagandy,celtic,Play-Off Round  - 1St Leg,2,0,H
cl.2013/14,2013/08/20,lyon,realsociedad,Play-Off Round  - 1St Leg,0,2,A
cl.2013/14,2013/08/20,ferreira,zenit,Play-Off Round  - 1St Leg,1,4,A
cl.2013/14,2013/08/20,psv,milan,Play-Off Round  - 1St Leg,1,1,D
cl.2013/14,2013/08/20,plzen,maribor,Play-Off Round  - 1St Leg,3,1,H
cl.2013/14,2013/08/21,zagreb,austria,Play-Off Round  - 1St Leg,0,2,A
cl.2013/14,2013/08/21,razgrad,basel,Play-Off Round  - 1St Leg,2,4,A
cl.2013/14,2013/08/21,steaua,legiawarszawa,Play-Off Round  - 1St Leg,1,1,D
cl.2013/14,2013/08/21,schalke,paok,Play-Off Round  - 1St Leg,1,1,D
cl.2013/14,2013/08/21,fenerbahce,arsenal,Play-Off Round  - 1St Leg,0,3,A
cl.2013/14,2013/08/27,austria,zagreb,Play-Off Round  - 2Nd Leg,2,3,A
cl.2013/14,2013/08/27,basel,razgrad,Play-Off Round  - 2Nd Leg,2,0,H
cl.2013/14,2013/08/27,legiawarszawa,steaua,Play-Off Round  - 2Nd Leg,2,2,D
cl.2013/14,2013/08/27,paok,schalke,Play-Off Round  - 2Nd Leg,2,3,A
cl.2013/14,2013/08/27,arsenal,fenerbahce,Play-Off Round  - 2Nd Leg,2,0,H
cl.2013/14,2013/08/28,zenit,ferreira,Play-Off Round  - 2Nd Leg,4,2,H
cl.2013/14,2013/08/28,milan,psv,Play-Off Round  - 2Nd Leg,3,0,H
cl.2013/14,2013/08/28,maribor,plzen,Play-Off Round  - 2Nd Leg,0,1,A
cl.2013/14,2013/08/28,celtic,karagandy,Play-Off Round  - 2Nd Leg,3,0,H
cl.2013/14,2013/08/28,realsociedad,lyon,Play-Off Round  - 2Nd Leg,2,0,H
cl.2013/14,2013/09/17,manunited,leverkusen,Matchday 1,4,2,H
cl.2013/14,2013/09/17,realsociedad,donezk,Matchday 1,0,2,A
cl.2013/14,2013/09/17,galatasaray,madrid,Matchday 1,1,6,A
cl.2013/14,2013/09/17,kobenhavn,juventus,Matchday 1,1,1,D
cl.2013/14,2013/09/17,olympiacos,paris,Matchday 1,1,4,A
cl.2013/14,2013/09/17,benfica,anderlecht,Matchday 1,2,0,H
cl.2013/14,2013/09/17,bayern,moskva,Matchday 1,3,0,H
cl.2013/14,2013/09/17,plzen,mancity,Matchday 1,0,3,A
cl.2013/14,2013/09/18,chelsea,basel,Matchday 1,1,2,A
cl.2013/14,2013/09/18,schalke,steaua,Matchday 1,3,0,H
cl.2013/14,2013/09/18,marseille,arsenal,Matchday 1,1,2,A
cl.2013/14,2013/09/18,napoli,dortmund,Matchday 1,2,1,H
cl.2013/14,2013/09/18,atletico,zenit,Matchday 1,3,1,H
cl.2013/14,2013/09/18,austria,porto,Matchday 1,0,1,A
cl.2013/14,2013/09/18,barcelona,ajax,Matchday 1,4,0,H
cl.2013/14,2013/09/18,milan,celtic,Matchday 1,2,0,H
cl.2013/14,2013/10/02,donezk,manunited,Matchday 2,1,1,D
cl.2013/14,2013/10/02,leverkusen,realsociedad,Matchday 2,2,1,H
cl.2013/14,2013/10/02,juventus,galatasaray,Matchday 2,2,2,D
cl.2013/14,2013/10/02,madrid,kobenhavn,Matchday 2,4,0,H
cl.2013/14,2013/10/02,paris,benfica,Matchday 2,3,0,H
cl.2013/14,2013/10/02,anderlecht,olympiacos,Matchday 2,0,3,A
cl.2013/14,2013/10/02,moskva,plzen,Matchday 2,3,2,H
cl.2013/14,2013/10/02,mancity,bayern,Matchday 2,1,3,A
cl.2013/14,2013/10/01,basel,schalke,Matchday 2,0,1,A
cl.2013/14,2013/10/01,steaua,chelsea,Matchday 2,0,4,A
cl.2013/14,2013/10/01,dortmund,marseille,Matchday 2,3,0,H
cl.2013/14,2013/10/01,arsenal,napoli,Matchday 2,2,0,H
cl.2013/14,2013/10/01,porto,atletico,Matchday 2,1,2,A
cl.2013/14,2013/10/01,zenit,austria,Matchday 2,0,0,D
cl.2013/14,2013/10/01,ajax,milan,Matchday 2,1,1,D
cl.2013/14,2013/10/01,celtic,barcelona,Matchday 2,0,1,A
cl.2013/14,2013/10/23,leverkusen,donezk,Matchday 3,4,0,H
cl.2013/14,2013/10/23,manunited,realsociedad,Matchday 3,1,0,H
cl.2013/14,2013/10/23,madrid,juventus,Matchday 3,2,1,H
cl.2013/14,2013/10/23,galatasaray,kobenhavn,Matchday 3,3,1,H
cl.2013/14,2013/10/23,anderlecht,paris,Matchday 3,0,5,A
cl.2013/14,2013/10/23,benfica,olympiacos,Matchday 3,1,1,D
cl.2013/14,2013/10/23,moskva,mancity,Matchday 3,1,2,A
cl.2013/14,2013/10/23,bayern,plzen,Matchday 3,5,0,H
cl.2013/14,2013/10/22,schalke,chelsea,Matchday 3,0,3,A
cl.2013/14,2013/10/22,steaua,basel,Matchday 3,1,1,D
cl.2013/14,2013/10/22,arsenal,dortmund,Matchday 3,1,2,A
cl.2013/14,2013/10/22,marseille,napoli,Matchday 3,1,2,A
cl.2013/14,2013/10/22,porto,zenit,Matchday 3,0,1,A
cl.2013/14,2013/10/22,austria,atletico,Matchday 3,0,3,A
cl.2013/14,2013/10/22,milan,barcelona,Matchday 3,1,1,D
cl.2013/14,2013/10/22,celtic,ajax,Matchday 3,2,1,H
cl.2013/14,2013/11/05,donezk,leverkusen,Matchday 4,0,0,D
cl.2013/14,2013/11/05,realsociedad,manunited,Matchday 4,0,0,D
cl.2013/14,2013/11/05,juventus,madrid,Matchday 4,2,2,D
cl.2013/14,2013/11/05,kobenhavn,galatasaray,Matchday 4,1,0,H
cl.2013/14,2013/11/05,paris,anderlecht,Matchday 4,1,1,D
cl.2013/14,2013/11/05,olympiacos,benfica,Matchday 4,1,0,H
cl.2013/14,2013/11/05,mancity,moskva,Matchday 4,5,2,H
cl.2013/14,2013/11/05,plzen,bayern,Matchday 4,0,1,A
cl.2013/14,2013/11/06,chelsea,schalke,Matchday 4,3,0,H
cl.2013/14,2013/11/06,basel,steaua,Matchday 4,1,1,D
cl.2013/14,2013/11/06,dortmund,arsenal,Matchday 4,0,1,A
cl.2013/14,2013/11/06,napoli,marseille,Matchday 4,3,2,H
cl.2013/14,2013/11/06,zenit,porto,Matchday 4,1,1,D
cl.2013/14,2013/11/06,atletico,austria,Matchday 4,4,0,H
cl.2013/14,2013/11/06,barcelona,milan,Matchday 4,3,1,H
cl.2013/14,2013/11/06,ajax,celtic,Matchday 4,1,0,H
cl.2013/14,2013/11/27,leverkusen,manunited,Matchday 5,0,5,A
cl.2013/14,2013/11/27,donezk,realsociedad,Matchday 5,4,0,H
cl.2013/14,2013/11/27,madrid,galatasaray,Matchday 5,4,1,H
cl.2013/14,2013/11/27,juventus,kobenhavn,Matchday 5,3,1,H
cl.2013/14,2013/11/27,anderlecht,benfica,Matchday 5,2,3,A
cl.2013/14,2013/11/27,paris,olympiacos,Matchday 5,2,1,H
cl.2013/14,2013/11/27,moskva,bayern,Matchday 5,1,3,A
cl.2013/14,2013/11/27,mancity,plzen,Matchday 5,4,2,H
cl.2013/14,2013/11/26,basel,chelsea,Matchday 5,1,0,H
cl.2013/14,2013/11/26,steaua,schalke,Matchday 5,0,0,D
cl.2013/14,2013/11/26,arsenal,marseille,Matchday 5,2,0,H
cl.2013/14,2013/11/26,dortmund,napoli,Matchday 5,3,1,H
cl.2013/14,2013/11/26,zenit,atletico,Matchday 5,1,1,D
cl.2013/14,2013/11/26,porto,austria,Matchday 5,1,1,D
cl.2013/14,2013/11/26,ajax,barcelona,Matchday 5,2,1,H
cl.2013/14,2013/11/26,celtic,milan,Matchday 5,0,3,A
cl.2013/14,2013/12/10,manunited,donezk,Matchday 6,1,0,H
cl.2013/14,2013/12/10,realsociedad,leverkusen,Matchday 6,0,1,A
cl.2013/14,2013/12/10,galatasaray,juventus,Matchday 6,1,0,H
